zugNummer;zug;spielfeld;player1
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
0;1;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;3;[[], [], [], [1, 2], [], [], []];True
3;4;[[], [], [1], [1, 2], [], [], []];False
4;3;[[], [], [1], [1, 2, 2], [], [], []];True
5;4;[[], [], [1, 1], [1, 2, 2], [], [], []];False
6;3;[[], [], [1, 1], [1, 2, 2, 2], [], [], []];True
7;4;[[], [], [1, 1, 1], [1, 2, 2, 2], [], [], []];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
0;3;[[], [], [], [], [], [], []];True
1;6;[[], [], [1], [], [], [], []];False
0;3;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;5;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;3;[[], [], [], [], [], [], []];True
0;3;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
3;4;[[], [], [], [1, 2, 1], [], [], []];False
4;4;[[], [], [], [1, 2, 1, 2], [], [], []];True
5;4;[[], [], [], [1, 2, 1, 2, 1], [], [], []];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
3;4;[[], [], [], [1, 2, 1], [], [], []];False
4;4;[[], [], [], [1, 2, 1, 2], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
3;4;[[], [], [], [1, 2, 1], [], [], []];False
4;4;[[], [], [], [1, 2, 1, 2], [], [], []];True
5;3;[[], [], [], [1, 2, 1, 2, 1], [], [], []];False
6;4;[[], [], [2], [1, 2, 1, 2, 1], [], [], []];True
7;3;[[], [], [2], [1, 2, 1, 2, 1, 1], [], [], []];False
8;3;[[], [], [2, 2], [1, 2, 1, 2, 1, 1], [], [], []];True
9;6;[[], [], [2, 2, 1], [1, 2, 1, 2, 1, 1], [], [], []];False
10;6;[[], [], [2, 2, 1], [1, 2, 1, 2, 1, 1], [], [2], []];True
11;6;[[], [], [2, 2, 1], [1, 2, 1, 2, 1, 1], [], [2, 1], []];False
12;3;[[], [], [2, 2, 1], [1, 2, 1, 2, 1, 1], [], [2, 1, 2], []];True
13;7;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [], [2, 1, 2], []];False
14;5;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [], [2, 1, 2], [2]];True
15;5;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [1], [2, 1, 2], [2]];False
16;7;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [1, 2], [2, 1, 2], [2]];True
17;5;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [1, 2], [2, 1, 2], [2, 1]];False
18;7;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [1, 2, 2], [2, 1, 2], [2, 1]];True
19;6;[[], [], [2, 2, 1, 1], [1, 2, 1, 2, 1, 1], [1, 2, 2], [2, 1, 2], [2, 1, 1]];False
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
3;5;[[], [], [], [1, 2, 1], [], [], []];False
4;3;[[], [], [], [1, 2, 1], [2], [], []];True
0;4;[[], [], [], [], [], [], []];True
1;4;[[], [], [], [1], [], [], []];False
2;4;[[], [], [], [1, 2], [], [], []];True
3;4;[[], [], [], [1, 2, 1], [], [], []];False
4;4;[[], [], [], [1, 2, 1, 2], [], [], []];True
5;3;[[], [], [], [1, 2, 1, 2, 1], [], [], []];False
6;4;[[], [], [2], [1, 2, 1, 2, 1], [], [], []];True
7;3;[[], [], [2], [1, 2, 1, 2, 1, 1], [], [], []];False
8;5;[[], [], [2, 2], [1, 2, 1, 2, 1, 1], [], [], []];True
9;5;[[], [], [2, 2], [1, 2, 1, 2, 1, 1], [1], [], []];False
10;6;[[], [], [2, 2], [1, 2, 1, 2, 1, 1], [1, 2], [], []];True
11;6;[[], [], [2, 2], [1, 2, 1, 2, 1, 1], [1, 2], [1], []];False
